Категория;Подкатегория;Группа;Подгруппа;Товар;Бренд;Максимальная продажная цена;Средняя цена продажи (руб)
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр 'Пикантин' сверхтвердый из овечьего молока, кг;Рота агро; 8 390 ; 5 613 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр сверхтвердый 'Резерв', кг;Рота агро; 7 790 ; 5 124 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Швейцарские Альпы с травами мдж в сух в-е 45% Марго Фромаж кг Швейцария;Margot Fromages; 6 999 ; 4 445 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Тет-де-Муан фольга мдж в сух в-е мин 51% Марго Фромаж Швейцария, кг;Margot Fromages; 6 299 ; 4 671 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Грюйер мдж в сух в-е 49% Margot Fromages Швейцария, кг;Margot Fromages; 5 599 ; 3 394 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Schonfeld Swiss Thurmesan  52% ,кг;Schonfeld; 4 799 ; 2 682 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Роут Хекс мдж в сух в-е 55% Марго Фромаж Швейцария, кг;Margot Fromages; 4 599 ; 3 902 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Heidi Тет-де-Муан мжд в сух в-ве 52% Швейцария, кг;Heidi; 4 499 ; 2 663 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр LAIME Фрибург 53% выдержанный (Швейцария), кг;Laime; 3 999 ; 3 400 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Пармезан Швейцарский Марго мдж в сух в-е мин 40% Марго Фромаж Швейцария, кг;Margot Fromages; 3 949 ; 3 147 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с голубой плесенью тм ДОРБЛЮ резаный мдж в сух в-е 50% Россия, кг;Dorblu; 3 849 ; 2 645 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;Сыр Margot Bleuchatel с голубой плесенью 55% 1кг Швейцария;Margot Fromages; 3 849 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Emmi Kaltbah Extra 50% 1кг Швейцария;Emmi; 3 749 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с голубой плесенью тмДОРБЛЮ мдж в сух в-е 50% Россия, кг;Dorblu; 3 749 ; 2 659 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр Козий твердый FORMAGGI 1кг;Formaggi; 3 699 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Chevre 1/4 из козьего молока, резаный 50%,кг Excelsior;Excelsior; 3 649 ; 2 648 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр Chevre 1/4 из козьего молока, 50%,кг Excelsior;Excelsior; 3 649 ; 1 890 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр 'Латтерия', из коровьего молока, кг;Рота агро; 3 590 ; 1 844 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;Сыр Margot Fromages Тет-де-Муан подарочный комплект с ножом 51% 400г Швейцария;Margot Fromages; 3 499 ; 2 555 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ сыр полутв Heidi Швейцарский Горный 52% Швейцария кг;Heidi; 3 449 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;Сыр Margot Fior delle Alpi твердый 45% 1кг Швейцария;Margot Fromages; 3 444 ; 3 199 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Пармезан 37% Россия, кг;Не бренд; 3 399 ; 2 774 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр твердый ДЮРР 12 мес мдж в сух в-е 50% Россия, кг;Эконива; 3 399 ; 2 077 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр Бри с белой плесенью мдж в сух в-е 50% Швейцария кг;Moser; 3 399 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр Свисс Бри мдж в сух в-е 55% Emmi Швейцария, кг;Emmi; 3 399 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр мягкий President Royal bleu c голубой плесенью вес 55%;President; 3 399 ; 2 423 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Деревенский горный, мдж в сух в-е 49% Margot Fromages Швейцария, кг;Margot Fromages; 3 299 ; 2 780 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Вайзенкейзе легкий мдж в сух в-е 20% Margot Fromages Швейцария, кг;Margot Fromages; 3 299 ; 2 623 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Тет-де-Муан (Tete de Moine) мдж в сух в-е 52% Real Swiss Cheese Швейцария, кг;Real Swiss Cheese; 3 299 ; 3 299 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр Сент-мор FORMAGGI 1кг;Formaggi; 3 299 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр полутвёрдый Schonfeld РАКЛЕТ с трюфелем созр.3 мес 45%, вес;Schonfeld; 3 249 ; 2 516 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр мягкий Бри President мдж в сух в-е 60% President Россия кг;President; 3 249 ; 1 952 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр твердый PARME Проволоне 32% 12 месяцев выдержки Аргентина, кг;Parme; 3 199 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Вайзенкейзе резервный мдж в сух в-е 50% Margot Fromages Швейцария,кг;Margot Fromages; 3 199 ; 2 432 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр Горгонзола Терра-дель-Густо мдж в сух в-е 60% Россия, кг;Terra del gusto; 3 199 ; 1 679 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с голубой плесенью galbani мдж в сух в-е 62% galbani Россия кг;Galbani; 3 149 ; 2 188 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр твердый из козьего молока 'Белпер Кнолле'  кг.;Сельские традиции; 3 140 ; 2 671 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр твердый из козьего молока 'Белпер Кнолле' с копченой паприкой кг.;Сельские традиции; 3 140 ; 2 677 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Швейцарский Фермерский мдж в сух в-е 49% Heidi Швейцария, кг;Heidi; 3 075 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Паради мдж в сух в-е 15% Марго Фромаж Швейцария, кг;Margot Fromages; 2 899 ; 1 547 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Том Альпенвиль 30-45% кг Россия;Альпенвиль; 2 899 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Laimedamer мдж в сух в-е 45% LAIME Швейцария, кг;Laime; 2 899 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр мягкий President Brie Double Cream с белой плесенью вес. 73% Foil (1/2 круга);President; 2 899 ; 1 845 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с голубой плесенью BLUDELICE CLASSIC, 56% , Россия ,кг;Bludelice; 2 899 ; 1 514 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;Сыр КОЗЯЮШКА Пьяная коза  из козьего молока 42% в/у (Россия) 1кг;Козяюшка; 2 899 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр 'Монтарино Микс' из смеси овечьего и коровьего молока, кг;Рота агро; 2 890 ; 2 413 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;Сыр КОЗЯЮШКА Качотта из козьего молока 45% в/у (Россия) 1кг;Козяюшка; 2 799 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр полутвердый из козьего молока 'Качотта',кг.;Сельские традиции; 2 790 ; 2 334 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр полутвердый из козьего молока 'Томм', кг.;Сельские традиции; 2 790 ; 2 372 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Grana Schonfeld 43% Россия, кг;Schonfeld; 2 749 ; 2 110 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Паради Жура  твердый мдж в сух в-е 45% Margot Fromages Швейцария, кг;Margot Fromages; 2 749 ; 2 074 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр коровий с трюфелем 50% ТМ IL CAPITANO Сан-Марино;Il Capitano; 2 749 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Тет де Муан Пируэт, 52%, 400г Швейцария;Heidi; 2 749 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Свисстайлер легкий мдж в сух в-ве 20%, кг;Margot Fromages; 2 699 ; 2 399 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;Сыр КОЗЯЮШКА Монтерей Джек  из козьего молока 42% в/у (Россия) 1кг;Козяюшка; 2 699 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр фасованный 'Пармезан' 6 мес Schonfeld 40% ,кг;Schonfeld; 2 599 ; 1 798 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр Камамбер с суш трюф в пепле 53% Сырный мир кг Россия;Сырный Мир; 2 549 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;Сыр твердый Грюйер АОС нежный 45%-49% 1кг Швейцария;Intercheese AG; 2 544 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Гойя мдж в сух в-е не менее 40% La Paulina Аргентина, кг;La PauLina; 2 499 ; 1 862 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Пармезан Grana Padano Hard 40% Gutendorf Россия, кг;Gutendorf; 2 499 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Пепато с чер перц 32%  4 месяца Аргентина, кг;Parme; 2 499 ; 1 967 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;Сыр Dziugas Пармезан 40% 1кг Армения;Dziugas; 2 499 ; 1 199 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Cыр Эмменталер Schonfeld  Швейцария, кг;Schonfeld; 2 499 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сент-Жорж Гран Летье Россия Россия кг;Гран Летье; 2 499 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр овечий 'Пекарино' Паниерэ, вес;Paniere; 2 499 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр мягкий с белой плесенью Линго President  мдж в сух в-е 60% President Россия, кг;President; 2 499 ; 1 548 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр мягкий с голубой плесенью Botticello Rockforo 55%, вес;Botticello; 2 499 ; 1 865 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр козий тввыдерж 3-6 мес 30-50% Прируч долина кг;Приручейная долина; 2 499 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;Сыр Капретте козий 50% 1кг Россия;Капретте; 2 450 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с голубой плесенью Blue Creamy 55%  Natura Selection, кг;Natura; 2 449 ; 1 625 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр сливочный GrandBlu 56% Аргентина кг;GrandBlu; 2 449 ; 1 915 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр полутвёрдый Schonfeld РАКЛЕТ созр.3 мес 45%, вес;Schonfeld; 2 399 ; 1 945 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Parmesan тв Schonfeld 42%, кг;Schonfeld; 2 349 ; 1 856 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр СОВЕТСКИЙ мдж в сух в-е 50% КИПРИНО Россия, кг;Киприно; 2 349 ; 1 112 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр Атон Бри с белой плесенью 50-60 %  Россия, кг;Атон; 2 349 ; 1 689 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр Бри 50% Natura Selection кг;Natura; 2 349 ; 1 654 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр GRAN RISERVA-24 мес 40% вес Россия;Laime; 2 299 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр LAIME Пармезан колотый 40%  вес Россия;Laime; 2 299 ; 1 899 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр LAIME Пармезан колотый 40% фасованный Россия;Laime; 2 299 ; 1 773 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр твердый Пармезан LAIME 40% Россия, кг;Laime; 2 299 ; 1 806 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр фасованный твердый Пармезан Schonfeld (созр. 6 мес) 45%, кг;Schonfeld; 2 299 ; 1 976 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр МЯГКИЙ С БЕЛОЙ ПЛЕСЕНЬЮ С ОРЕХАМИ БРИ PRESIDENT? мдж в сух в-ве 60% President Россия, кг;President; 2 299 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с голубой плесенью БлюДелис мдж в сух в-е 56% Россия, кг;Bludelice; 2 299 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.13. Сыры из смешанного молока весовые;БЗМЖ Сыр козий тв выдерж 1-3 мес 30-50% Прируч долина кг;Приручейная долина; 2 299 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр МОНДОР GRANO мдж в сух в-е 50%  50%  Кобрин Белоруссия, кг;Мир Вкуса; 2 249 ; 1 575 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с голубой плесенью BLUE Schonfeld 54% Аргентина, кг;Schonfeld; 2 249 ; 1 948 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с Голубой Плесенью DANABLU Natura Selection 50% кг;Natura; 2 249 ; 1 603 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;Сыр Milkana GrandBlu cливочный с голубой плесенью 56% 1кг Аргентина;Milkana; 2 249 ; 1 216 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр твердый ДЮРР Целлер Эконива 55% , кг;Эконива; 2 199 ; 1 537 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.23. Промо, in-out;БЗМЖ Сыр с голуб плес Тамплиер 55% Белоруссия, кг;Тамплиер; 2 199 ; 1 615 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.16. Сыры из смешанного молока шт;БЗМЖ Сыр El'Nuar Овечий мдж в сух в-е 48%  Россия, кг;el'Nuar; 2 199 ; 1 999 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр пармезан фасованный мдж в сух в 32% Cheese Gallery Россия кг;Cheese Gallery; 2 149 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.13. Сыры белая плесень весовые;БЗМЖ Сыр Supreme  с белой плесенью 60% кг;Supreme; 2 149 ; 1 678 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с гол плес Sambiel 50% Армения,кг;Sambiel; 2 149 ; 1 768 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Брест-Литовск Выдержанный 12 мес 45% Беларусь, кг;Брест- Литовск; 2 099 ; 1 602 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Пармезан, ТМ Ricrem, 42% , Аргентина, кг;Ricrem; 2 099 ; 1 587 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Ди Каприо Santa Margarita 50%, кг;Santa Margarita; 2 099 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр полутвёрдый Schonfeld РАКЛЕТ созр.3 мес 45% резаный, вес;Schоnfeld; 2 099 ; 1 644 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр Эмментальский мдж в сух в-е 45% Россия, кг;Алгой; 2 099 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ MONBLU Сыр  с голубой плесенью 50% кг;MonBlu; 2 099 ; 1 519 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;Сыр Swissparm твердый типа пармезан 47% 1кг Швейцария;Lustenberger swissparm; 2 079 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Пармезан 40% Киприно Россия, кг;Киприно; 2 049 ; 1 354 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Реджанито 33% 6 месяцев выдержки Чили, кг;Parme; 2 049 ; 1 879 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;Сыр Гойя La Paulina фас 40% 1кг Аргентина;La PauLina; 2 049 ; 1 114 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр полутвёрдый 'Маасдам'  50%, кг;Рота агро; 2 000 ; 1 642 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр Natura Selection Пармезан  45% кг;Natura; 1 999 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр тв козий Восточное приладожье 50%, кг;Восточное Приладожье; 1 999 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр тверд  Турмезан 50% RSC, кг Швейцария;Real Swiss Cheese; 1 999 ; 1 573 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр LAIME Ле Гурмэ 48% вес Россия;Laime; 1 999 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр п/тв Эмменталер 50%  AOP RSC, кг Швейцария;Real Swiss Cheese; 1 999 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;Сыр Margot Fromages Эмменталер 45% 1кг Швейцария;Margot Fromages; 1 999 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр GRAN RISERVA-18 мес 40% вес Россия;Laime; 1 989 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.12. Сыры сычужные твердые весовые;БЗМЖ Сыр швейцарский блочный мдж в сух в-е 50% киприно Россия кг;Киприно; 1 979 ; 1 160 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;БЗМЖ Итальянский набор ,Depardieu Recommande, 500 гр;Depardieu Recommande; 1 979 ; 1 368 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.13. Сыры голубая плесень весовые;БЗМЖ Сыр с гол благ плес, 60% тм Bluz,кг;Bluz; 1 979 ; 1 916 
